Order_ID,Order_Date,Time_Orderd,Weather,Type_of_order,City,Order_Duration
0xcdcd,12/2/2022,21:55,Fog,Snack,Metropolitian,46
0xd987,13-02-2022,14:55,Stormy,Meal,Metropolitian,23
0x2784,4/3/2022,17:30,Sandstorms,Drinks,Metropolitian,21
0xc8b6,13-02-2022,9:20,Sandstorms,Buffet,Metropolitian,20
0xdb64,14-02-2022,19:50,Fog,Snack,Metropolitian,41
0x3af3,2/4/2022,20:25,Sandstorms,Buffet,Metropolitian,20
0x3aab,1/3/2022,14:55,Windy,Meal,Metropolitian,33
0x689b,16-03-2022,20:30,Sandstorms,Snack,Metropolitian,40
0x6f67,20-03-2022,20:40,Cloudy,Snack,Metropolitian,41
0xc9cf,15-02-2022,21:15,Windy,Meal,Urban,15
0x36b8,16-03-2022,20:20,Sandstorms,Snack,Metropolitian,36
0x5795,10/3/2022,22:30,Sandstorms,Meal,Metropolitian,26
0x6c6b,11/3/2022,8:15,Sandstorms,Snack,Metropolitian,20
0xb816,27-03-2022,19:30,Windy,Meal,Metropolitian,39
0x539b,26-03-2022,12:25,Cloudy,Buffet,Metropolitian,34
0xa1b2,27-03-2022,18:35,Sunny,Meal,Metropolitian,15
0x3231,5/4/2022,20:35,Stormy,Snack,Urban,18
0x8bc0,12/3/2022,23:20,Cloudy,Drinks,Metropolitian,38
0x2288,16-03-2022,21:20,Windy,Buffet,Metropolitian,47
0x3c5e,2/4/2022,23:35,Windy,Buffet,Urban,12
0x3e60,1/4/2022,22:35,Sandstorms,Drinks,Metropolitian,26
0xbff,5/3/2022,22:35,Stormy,Drinks,Urban,22
0xd936,11/2/2022,23:25,Sandstorms,Buffet,Urban,21
0xd681,11/2/2022,13:35,Cloudy,Drinks,Urban,25
0x2876,8/3/2022,21:35,Stormy,Snack,Urban,35
0x30c8,2/4/2022,22:35,Cloudy,Drinks,Metropolitian,30
0xb843,8/3/2022,18:55,Sunny,Snack,Metropolitian,22
0xb3a0,3/4/2022,14:15,Windy,Snack,Urban,10
0x6531,30-03-2022,0.458333333,Sandstorms,Meal,Metropolitian,19
0x4bda,1/4/2022,9:45,Sunny,Snack,Urban,11
0x9d26,28-03-2022,8:40,Stormy,Buffet,Metropolitian,11
0x9b18,18-03-2022,0.958333333,Fog,Snack,Metropolitian,28
0x5d99,14-03-2022,17:25,Cloudy,Snack,Metropolitian,33
0x4f0,6/4/2022,NaN,Cloudy,Drinks,Metropolitian,33
0xb796,4/4/2022,19:45,Sandstorms,Snack,Metropolitian,52
0x85b4,8/3/2022,19:10,Stormy,Snack,Metropolitian,22
0xc644,13-02-2022,10:55,Fog,Snack,Urban,16
0x6999,24-03-2022,21:40,Sunny,Drinks,Metropolitian,11
0x63b6,19-03-2022,0.791666667,Windy,Drinks,Metropolitian,25
0xa30b,9/3/2022,16:45,Cloudy,Drinks,Urban,26
0x3556,19-03-2022,11:30,Sunny,Snack,Metropolitian,18
0x5554,3/4/2022,15:10,Fog,Snack,Metropolitian,16
0x25fd,25-03-2022,22:45,Stormy,Drinks,Metropolitian,23
0xc1ff,13-02-2022,22:10,Cloudy,Snack,Metropolitian,15
0x7ac8,4/4/2022,20:45,Sandstorms,Drinks,Metropolitian,36
0x3da1,26-03-2022,22:50,Cloudy,Snack,Metropolitian,16
0x272d,10/3/2022,17:55,Sunny,Buffet,Urban,19
0xddc5,14-02-2022,22:45,Sunny,Snack,Metropolitian,27
0x8e6c,2/3/2022,20:35,Fog,Snack,Semi-Urban,49
0xb002,26-03-2022,9:25,Windy,Buffet,NaN,20
0x395b,13-03-2022,20:15,Cloudy,Snack,Metropolitian,30
0x8aa2,29-03-2022,22:25,Sandstorms,Drinks,Urban,18
0xb55a,30-03-2022,21:55,Sunny,Drinks,Metropolitian,22
0x73cc,12/3/2022,22:40,Cloudy,Drinks,Metropolitian,34
0xbe80,31-03-2022,23:50,Sandstorms,Buffet,Urban,24
0x1609,17-03-2022,15:25,Fog,Drinks,Metropolitian,17
0xd255,15-02-2022,10:20,Sandstorms,Meal,Metropolitian,14
0xde72,15-02-2022,20:55,Stormy,Meal,Metropolitian,30
0x98aa,7/3/2022,10:40,Stormy,Meal,Metropolitian,15
0x273a,28-03-2022,15:55,Fog,Buffet,Urban,16
0xa258,16-03-2022,20:10,Cloudy,Snack,Metropolitian,36
0x8b53,17-03-2022,12:10,Sunny,Buffet,Urban,18
0xbbde,15-03-2022,15:30,Fog,Meal,Metropolitian,17
0x5ded,25-03-2022,22:10,Sandstorms,Buffet,Urban,15
0x1a70,9/3/2022,10:35,Fog,Buffet,Metropolitian,17
0xa9f,11/3/2022,NaN,NaN,Drinks,Metropolitian,19
0x4b7f,5/3/2022,23:50,Fog,Buffet,Metropolitian,10
0xc606,11/2/2022,21:10,Fog,Drinks,Metropolitian,27
0xb962,12/3/2022,20:25,Sandstorms,Buffet,Metropolitian,37
0x633c,29-03-2022,20:50,Fog,Drinks,Metropolitian,44
0x2dc6,19-03-2022,12:35,Windy,Drinks,Metropolitian,28
0x903a,10/3/2022,0.875,Cloudy,Snack,Metropolitian,42
0xc444,16-02-2022,23:40,Windy,Snack,Metropolitian,25
0x1fb7,27-03-2022,18:15,Cloudy,Snack,Metropolitian,39
0x34d7,27-03-2022,18:20,Stormy,Meal,Urban,20
0x156b,24-03-2022,11:45,Stormy,Buffet,Metropolitian,31
0x56ad,9/3/2022,20:45,Stormy,Buffet,Metropolitian,13
